"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2591077","Andrea  Mattavelli","","","","Understanding the Redundancy of Software Systems","698--701","","4","Redundancy, equivalence, execution diversity","10.1145/2591062.2591077","","","","","","","2014","","Companion Proceedings of the 36th International Conference on Software Engineering","ICSE Companion 2014","","978-1-4503-2768-8","Hyderabad, India","ACM","New York, NY, USA"
"article","3240468","Jianghao  Wang and Hamid  Bagheri and Myra B.  Cohen","","","","An Evolutionary Approach for Analyzing Alloy Specifications","820--825","","6","Evolutionary algorithms, Formal analysis, Relational logic","10.1145/3238147.3240468","","","","","","","2018","","Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering","ASE 2018","","978-1-4503-5937-5","Montpellier, France","ACM","New York, NY, USA"
"article","2903501","Vinayak  Sinha and Alina  Lazar and Bonita  Sharif","","","","Analyzing Developer Sentiment in Commit Logs","520--523","","4","Java projects, commit logs, sentiment analysis","10.1145/2901739.2903501","","","","","","","2016","","Proceedings of the 13th International Conference on Mining Software Repositories","MSR '16","","978-1-4503-4186-8","Austin, Texas","ACM","New York, NY, USA"
"article","1831740","Dasarath  Weeratunge and Xiangyu  Zhang and William N. Sumner and Suresh  Jagannathan","","","","Analyzing Concurrency Bugs Using Dual Slicing","253--264","","12","concurrency bugs, dual slicing, execution indexing","10.1145/1831708.1831740","","","","","","","2010","","Proceedings of the 19th International Symposium on Software Testing and Analysis","ISSTA '10","","978-1-60558-823-0","Trento, Italy","ACM","New York, NY, USA"
"article","2889170","Andrea  Di Sorbo and Sebastiano  Panichella and Corrado A. Visaggio and Massimiliano  Di Penta and Gerardo  Canfora and Harald  Gall","","","","DECA: Development Emails Content Analyzer","641--644","","4","natural language processing, recommender system, unstructured data mining","10.1145/2889160.2889170","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","2884879","Chengnian  Sun and Vu  Le and Zhendong  Su","","","","Finding and Analyzing Compiler Warning Defects","203--213","","11","","10.1145/2884781.2884879","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering","ICSE '16","","978-1-4503-3900-1","Austin, Texas","ACM","New York, NY, USA"
"article","3183466","Sira  Vegas","","","","Analyzing Software Engineering Experiments: Everything You Always Wanted to Know but Were Afraid to Ask","534--535","","2","analysis of experiments, controlled experiments, software engineering experimentation","10.1145/3183440.3183466","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings","ICSE '18","","978-1-4503-5663-3","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3195053","Jakeline  Marcos-Abed","","","","A Matrix for Analyzing Projects in Software Engineering Courses","139--140","","2","software engineering education, software lifecycle, software projects","10.1145/3183440.3195053","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings","ICSE '18","","978-1-4503-5663-3","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2931059","Christoffer Quist  Adamsen and Gianluca  Mezzetti and Anders  M&#248;ller","","","","Analyzing Test Completeness for Dynamic Languages","142--153","","12","Dart, Program testing, static analysis, type checking","10.1145/2931037.2931059","","","","","","","2016","","Proceedings of the 25th International Symposium on Software Testing and Analysis","ISSTA 2016","","978-1-4503-4390-9","Saarbr&#252;cken, Germany","ACM","New York, NY, USA"
"article","2999559","Sylvia  Stuurman and Harrie  Passier and Erik  Barendsen","","","","Analyzing Students' Software Redesign Strategies","110--119","","10","design patterns, education, procedural guidelines, redesign, refactoring","10.1145/2999541.2999559","","","","","","","2016","","Proceedings of the 16th Koli Calling International Conference on Computing Education Research","Koli Calling '16","","978-1-4503-4770-9","Koli, Finland","ACM","New York, NY, USA"
"article","2568268","Saba  Alimadadi and Sheldon  Sequeira and Ali  Mesbah and Karthik  Pattabiraman","","","","Understanding JavaScript Event-based Interactions","367--377","","11","JavaScript, Program comprehension, event-based interactions","10.1145/2568225.2568268","","","","","","","2014","","Proceedings of the 36th International Conference on Software Engineering","ICSE 2014","","978-1-4503-2756-5","Hyderabad, India","ACM","New York, NY, USA"
