"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3196347","Sarah  Fakhoury and Yuzhan  Ma and Venera  Arnaoudova and Olusola  Adesope","","","","The Effect of Poor Source Code Lexicon and Readability on Developers' Cognitive Load","286--296","","11","biometrics, cognitive load, eyetracking, fNIRS, program comprehension, source code lexicon","10.1145/3196321.3196347","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196342","Rodrigo Magalh&#227;es dos Santos and Marco Aur&#233;lio Gerosa","","","","Impacts of Coding Practices on Readability","277--285","","9","code comprehension, code readability, coding best practices, programming style, software developers' opinions survey","10.1145/3196321.3196342","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2591167","Giora  Alexandron and Michal  Armoni and Michal  Gordon and David  Harel","","","","Scenario-based Programming: Reducing the Cognitive Load, Fostering Abstract Thinking","311--320","","10","Abstraction, Scenario-Based Programming","10.1145/2591062.2591167","","","","","","","2014","","Companion Proceedings of the 36th International Conference on Software Engineering","ICSE Companion 2014","","978-1-4503-2768-8","Hyderabad, India","ACM","New York, NY, USA"
"article","3300487","Caitlin  Kelleher and Wint  Hnin","","","","Predicting Cognitive Load in Future Code Puzzles","257:1--257:12","257","12","adaptive learning system, code puzzles, cognitive load","10.1145/3290605.3300487","","","","","","","2019","","Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems","CHI '19","","978-1-4503-5970-2","Glasgow, Scotland Uk","ACM","New York, NY, USA"
"article","2493425","Briana B. Morrison","","","","Using Cognitive Load Theory to Improve the Efficiency of Learning to Program","183--184","","2","multi-medium code explanation, worked examples.","10.1145/2493394.2493425","","","","","","","2013","","Proceedings of the Ninth Annual International ACM Conference on International Computing Education Research","ICER '13","","978-1-4503-2243-0","San Diego, San California, USA","ACM","New York, NY, USA"
"article","2503725","Vitor A. M. Jorge and Wilson J. Sarmiento and Anderson  Maciel and Luciana  Nedel and C&#233;sar A. Collazos and Frederico  Faria and Jackson  Oliveira","","","","Interacting with Danger in an Immersive Environment: Issues on Cognitive Load and Risk Perception","83--92","","10","3D interaction, presence, risk perception, virtual reality","10.1145/2503713.2503725","","","","","","","2013","","Proceedings of the 19th ACM Symposium on Virtual Reality Software and Technology","VRST '13","","978-1-4503-2379-6","Singapore","ACM","New York, NY, USA"
"article","3194705","George S. Avrunin and Lori A. Clarke and Heather M. Conboy and Leon J. Osterweil and Roger D. Dias and Steven J. Yule and Julian M. Goldman and Marco A. Zenati","","","","Toward Improving Surgical Outcomes by Incorporating Cognitive Load Measurement into Process-driven Guidance","2--9","","8","augmented cognition, checklists, cognitive load, process modeling, simulation, surgical data science, surgical patient safety","10.1145/3194696.3194705","","","","","","","2018","","Proceedings of the International Workshop on Software Engineering in Healthcare Systems","SEHS '18","","978-1-4503-5734-0","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3283820","Umme Ayda  Mannan and Iftekhar  Ahmed and Anita  Sarma","","","","Towards Understanding Code Readability and Its Impact on Design Quality","18--21","","4","Code smell, Design quality, Readability","10.1145/3283812.3283820","","","","","","","2018","","Proceedings of the 4th ACM SIGSOFT International Workshop on NLP for Software Engineering","NL4SE 2018","","978-1-4503-6055-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","3183415","Mahnaz  Behroozi and Alison  Lui and Ian  Moore and Denae  Ford and Chris  Parnin","","","","Dazed: Measuring the Cognitive Load of Solving Technical Interview Problems at the Whiteboard","93--96","","4","cognitive load, eyetracking, technical interviews","10.1145/3183399.3183415","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: New Ideas and Emerging Results","ICSE-NIER '18","","978-1-4503-5662-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597150","David  Binkley and Daniel  Heinz and Dawn  Lawrie and Justin  Overfelt","","","","Understanding LDA in Source Code Analysis","26--36","","11","Latent Dirichlet Allocation, hyper-parameters, source code topic models","10.1145/2597008.2597150","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597801","Ahmad  Jbara and Dror G.  Feitelson","","","","JCSD: Visual Support for Understanding Code Control Structure","300--303","","4","LOC, MCC, Visualization, code complexity, code regularity","10.1145/2597008.2597801","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597806","Shrinath  Gupta and Himanshu Kumar  Singh and Radhika D.  Venkatasubramanyam and Umesh  Uppili","","","","SCQAM: A Scalable Structured Code Quality Assessment Method for Industrial Software","244--252","","9","Code Analysis Tools, Software Code Assessment Method, Software Code Quality, Software Product Quality","10.1145/2597008.2597806","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2807560","Venkatesh  Vinayakarao","","","","Spotting Familiar Code Snippet Structures for Program Comprehension","1054--1056","","3","Structure Matching, Variant Repository","10.1145/2786805.2807560","","","","","","","2015","","Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2015","","978-1-4503-3675-8","Bergamo, Italy","ACM","New York, NY, USA"
"article","1810335","Sonia  Haiduc and Jairo  Aponte and Andrian  Marcus","","","","Supporting Program Comprehension with Source Code Summarization","223--226","","4","program comprehension, summary, text summarization","10.1145/1810295.1810335","","","","","","","2010","","Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 2","ICSE '10","","978-1-60558-719-6","Cape Town, South Africa","ACM","New York, NY, USA"
"article","2457408","Kazunori  Sakamoto","","","","A Framework for Analyzing and Transforming Source Code Supporting Multiple Programming Languages","35--36","","2","framework, program analysis, program transformation, programming languages","10.1145/2457392.2457408","","","","","","","2013","","Proceedings of the 12th Annual International Conference Companion on Aspect-oriented Software Development","AOSD '13 Companion","","978-1-4503-1873-0","Fukuoka, Japan","ACM","New York, NY, USA"
"article","2384729","Robert  Dyer and Hoan  Nguyen and Hridesh  Rajan and Tien  Nguyen","","","","Analyzing Ultra-large-scale Code Corpus with Boa","25--26","","2","mapreduce, software repository mining","10.1145/2384716.2384729","","","","","","","2012","","Proceedings of the 3rd Annual Conference on Systems, Programming, and Applications: Software for Humanity","SPLASH '12","","978-1-4503-1563-0","Tucson, Arizona, USA","ACM","New York, NY, USA"
"article","2745837","Yangchao  Liu and Xiaobing  Sun and Yucong  Duan","","","","Analyzing Program Readability Based on WordNet","27:1--27:2","27","2","WordNet, program comprehension, program readability","10.1145/2745802.2745837","","","","","","","2015","","Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering","EASE '15","","978-1-4503-3350-4","Nanjing, China","ACM","New York, NY, USA"
"article","2384752","Robert  Dyer and Hoan  Nguyen and Hridesh  Rajan and Tien  Nguyen","","","","Boa: Analyzing Ultra-large-scale Code Corpus","87--88","","2","mapreduce, software repository mining","10.1145/2384716.2384752","","","","","","","2012","","Proceedings of the 3rd Annual Conference on Systems, Programming, and Applications: Software for Humanity","SPLASH '12","","978-1-4503-1563-0","Tucson, Arizona, USA","ACM","New York, NY, USA"
"article","3236085","Jordan  Henkel and Shuvendu K.  Lahiri and Ben  Liblit and Thomas  Reps","","","","Code Vectors: Understanding Programs Through Embedded Abstracted Symbolic Traces","163--174","","12","Analogical Reasoning, Linux, Program Understanding, Word Embeddings","10.1145/3236024.3236085","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","2986020","Tim  Marter and Paul  Babucke and Philipp  Lembken and Stefan  Hanenberg","","","","Lightweight Programming Experiments Without Programmers and Programs: An Example Study on the Effect of Similarity and Number of Object Identifiers on the Readability of Source Code Using Natural Texts","1--14","","14","Experimentation, Human Factors, Programming, Randomized Controlled Trials","10.1145/2986012.2986020","","","","","","","2016","","Proceedings of the 2016 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software","Onward! 2016","","978-1-4503-4076-2","Amsterdam, Netherlands","ACM","New York, NY, USA"
"article","3196363","Giovanni  Grano and Simone  Scalabrino and Harald C. Gall and Rocco  Oliveto","","","","An Empirical Investigation on the Readability of Manual and Generated Test Cases","348--351","","4","automated testing, empirical software engineering, readability","10.1145/3196321.3196363","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597807","Aniket  Kulkarni and Ravindra  Metta","","","","A Code Obfuscation Framework Using Code Clones","295--299","","5","Code Obfuscation, Framework, Reverse Engineering, Software Protection","10.1145/2597008.2597807","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597799","Carmine  Vassallo and Sebastiano  Panichella and Massimiliano  Di Penta and Gerardo  Canfora","","","","CODES: Mining Source Code Descriptions from Developers Discussions","106--109","","4","Code re-documentation, Mining developer discussions, Program comprehension","10.1145/2597008.2597799","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196355","Felienne  Hermans and Alaaeddin  Swidan and Efthimia  Aivaloglou","","","","Code Phonology: An Exploration into the Vocalization of Code","308--311","","4","","10.1145/3196321.3196355","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597139","Mojtaba  Shahin and Peng  Liang and Zengyang  Li","","","","Do Architectural Design Decisions Improve the Understanding of Software Architecture? Two Controlled Experiments","3--13","","11","architectural design decision, controlled experiment, design rationale, meta-analysis, software architecture","10.1145/2597008.2597139","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196360","Arianna  Blasi and Alessandra  Gorla","","","","Replicomment: Identifying Clones in Code Comments","320--323","","4","bad smell, clones, code comments, software quality","10.1145/3196321.3196360","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196362","Ryo  Arima and Yoshiki  Higo and Shinji  Kusumoto","","","","Toward Refactoring Evaluation with Code Naturalness","316--319","","4","n-gram language model, naturalness, refactoring","10.1145/3196321.3196362","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196334","Xing  Hu and Ge  Li and Xin  Xia and David  Lo and Zhi  Jin","","","","Deep Code Comment Generation","200--210","","11","comment generation, deep learning, program comprehension","10.1145/3196321.3196334","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597140","Ahmad  Jbara and Dror G.  Feitelson","","","","On the Effect of Code Regularity on Comprehension","189--200","","12","Code regularity, LOC, MCC, code complexity","10.1145/2597008.2597140","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196332","Andrea  Schankin and Annika  Berger and Daniel V. Holt and Johannes C. Hofmeister and Till  Riedel and Michael  Beigl","","","","Descriptive Compound Identifier Names Improve Source Code Comprehension","31--40","","10","Java developers, identifier names, program comprehension, software quality","10.1145/3196321.3196332","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2451596","Christoph  Bockisch and Kardelen  Hatun","","","","Instance Pointcuts for Program Comprehension","7--12","","6","aspect-oriented programming, debugging, instance pointcuts, object categories, object-oriented programming, program comprehension","10.1145/2451592.2451596","","","","","","","2013","","Proceedings of the 1st Workshop on Comprehension of Complex Systems","CoCoS '13","","978-1-4503-1863-1","Fukuoka, Japan","ACM","New York, NY, USA"
"article","3196356","Masayuki  Doi and Yoshiki  Higo and Ryo  Arima and Kento  Shimonaka and Shinji  Kusumoto","","","","On the Naturalness of Auto-generated Code: Can We Identify Auto-generated Code Automatically?","340--343","","4","N-gram language model, auto-generated code, source code analysis","10.1145/3196321.3196356","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597790","Nesrine  Noughi and Marco  Mori and Loup  Meurice and Anthony  Cleve","","","","Understanding the Database Manipulation Behavior of Programs","64--67","","4","Dynamic analysis, data-intensive programs","10.1145/2597008.2597790","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597789","Mohammad  Ghafari and Carlo  Ghezzi and Andrea  Mocci and Giordano  Tamburrelli","","","","Mining Unit Tests for Code Recommendation","142--145","","4","Code recommendation, unit tests, usage examples","10.1145/2597008.2597789","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597793","Paul W.  McBurney and Cheng  Liu and Collin  McMillan and Tim  Weninger","","","","Improving Topic Model Source Code Summarization","291--294","","4","Source code summarization, software topic models","10.1145/2597008.2597793","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196330","Alan  Jaffe and Jeremy  Lacomis and Edward J. Schwartz and Claire Le Goues and Bogdan  Vasilescu","","","","Meaningful Variable Names for Decompiled Code: A Machine Translation Approach","20--30","","11","","10.1145/3196321.3196330","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196364","Mat&#250;&#353;  Sul&#237;r and Jaroslav  Porub&#228;n","","","","Augmenting Source Code Lines with Sample Variable Values","344--347","","4","dynamic analysis, examples, integrated development environment (IDE), source code augmentation, variables","10.1145/3196321.3196364","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3210473","Qing  Mi and Jacky  Keung and Yan  Xiao and Solomon  Mensah and Xiupei  Mei","","","","An Inception Architecture-Based Model for Improving Code Readability Classification","139--144","","6","Code Readability Classification, Deep Learning, Empirical Software Engineering, Inception Architecture","10.1145/3210459.3210473","","","","","","","2018","","Proceedings of the 22Nd International Conference on Evaluation and Assessment in Software Engineering 2018","EASE'18","","978-1-4503-6403-4","Christchurch, New Zealand","ACM","New York, NY, USA"
"article","3122824","Wilberto Z.  Nunez and Victor J.  Marin and Carlos R.  Rivero","","","","ARCC: Assistant for Repetitive Code Comprehension","999--1003","","5","Eclipse, Program Comprehension, Program Dependence Graph, Subgraph Matching","10.1145/3106237.3122824","","","","","","","2017","","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2017","","978-1-4503-5105-8","Paderborn, Germany","ACM","New York, NY, USA"
"article","2590758","Javier  Belmonte and Philippe  Dugerdil and Ashish  Agrawal","","","","A Three-layer Model of Source Code Comprehension","10:1--10:10","10","10","domain knowledge, evaluation, ontology, program comprehension","10.1145/2590748.2590758","","","","","","","2014","","Proceedings of the 7th India Software Engineering Conference","ISEC '14","","978-1-4503-2776-3","Chennai, India","ACM","New York, NY, USA"
"article","2568252","Janet  Siegmund and Christian  K&#228;stner and Sven  Apel and Chris  Parnin and Anja  Bethmann and Thomas  Leich and Gunter  Saake and Andr&#233;  Brechmann","","","","Understanding Understanding Source Code with Functional Magnetic Resonance Imaging","378--389","","12","Functional magnetic resonance imaging, program comprehension","10.1145/2568225.2568252","","","","","","","2014","","Proceedings of the 36th International Conference on Software Engineering","ICSE 2014","","978-1-4503-2756-5","Hyderabad, India","ACM","New York, NY, USA"
"article","3196329","Yao  Guo and Yuanchun  Li and Ziyue  Yang and Xiangqun  Chen","","","","What's Inside My App?: Understanding Feature Redundancy in Mobile Apps","266--276","","11","Android, app bloat, feature, mobile apps, redundancy","10.1145/3196321.3196329","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196358","Keigo  Naitou and Akito  Tanikado and Shinsuke  Matsumoto and Yoshiki  Higo and Shinji  Kusumoto and Hiroyuki  Kirinuki and Toshiyuki  Kurabayashi and Haruto  Tanno","","","","Toward Introducing Automated Program Repair Techniques to Industrial Software Development","332--335","","4","automated program repair, industrial application","10.1145/3196321.3196358","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3196323","Manuela  Z&#252;ger and Thomas  Fritz","","","","Sensing and Supporting Software Developers' Focus","2--6","","5","focus, interruptions, sensors, software developers","10.1145/3196321.3196323","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","1937136","Javier  Belmonte and Philippe  Dugerdil","","","","Using Domain Ontologies in a Dynamic Analysis for Program Comprehension","8:1--8:6","8","6","domain knowledge, dynamic analysis, ontology, program comprehension","10.1145/1937128.1937136","","","","","","","2010","","Ontology-Driven Software Engineering","ODiSE'10","","978-1-4503-0548-8","Reno, Nevada","ACM","New York, NY, USA"
"article","3196335","Cheng  Zhou and Bin  Li and Xiaobing  Sun and Hongjing  Guo","","","","Recognizing Software Bug-specific Named Entity in Software Bug Repository","108--119","","12","CRF model, named entity recognition, software bug, software bug corpus, word embedding","10.1145/3196321.3196335","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3197546","Zolt&#225;n  Porkol&#225;b and Tibor  Brunner and D&#225;niel  Krupp and M&#225;rton  Csord&#225;s","","","","Codecompass: An Open Software Comprehension Framework for Industrial Usage","361--369","","9","C/C++ programming language, code comprehension, software visualization","10.1145/3196321.3197546","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597151","Alexandre  Perez and Rui  Abreu","","","","A Diagnosis-based Approach to Software Comprehension","37--47","","11","Fault Diagnosis, Program Comprehension, Software Evolution and Maintenance","10.1145/2597008.2597151","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196441","Asher  Trockman and Keenen  Cates and Mark  Mozina and Tuan  Nguyen and Christian  K&#228;stner and Bogdan  Vasilescu","","","","Automatically Assessing Code Understandability Reanalyzed: Combined Metrics Matter","314--318","","5","","10.1145/3196398.3196441","","","","","","","2018","","Proceedings of the 15th International Conference on Mining Software Repositories","MSR '18","","978-1-4503-5716-6","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597157","Ferdian  Thung and David  Lo and Mohd Hafeez  Osman and Michel R. V.  Chaudron","","","","Condensing Class Diagrams by Analyzing Design and Network Metrics Using Optimistic Classification","110--121","","12","Design Metrics, Important Classes, Network Metrics, Optimistic Classification","10.1145/2597008.2597157","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2897094","Umme Ayda Mannan and Iftekhar  Ahmed and Rana Abdullah M. Almurshed and Danny  Dig and Carlos  Jensen","","","","Understanding Code Smells in Android Applications","225--234","","10","","10.1145/2897073.2897094","","","","","","","2016","","Proceedings of the International Conference on Mobile Software Engineering and Systems","MOBILESoft '16","","978-1-4503-4178-3","Austin, Texas","ACM","New York, NY, USA"
"article","3106264","Dan  Gopstein and Jake  Iannacone and Yu  Yan and Lois  DeLong and Yanyan  Zhuang and Martin K.-C.  Yeh and Justin  Cappos","","","","Understanding Misunderstandings in Source Code","129--139","","11","Program Understanding, Programming Languages","10.1145/3106237.3106264","","","","","","","2017","","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2017","","978-1-4503-5105-8","Paderborn, Germany","ACM","New York, NY, USA"
"article","3322876","Jonathan A. Saddler","","","","Looks Can Mean Achieving: Understanding Eye Gaze Patterns of Proficiency in Code Comprehension","57:1--57:3","57","3","developer expertise, eye tracking, program comprehension, task proficiency","10.1145/3314111.3322876","","","","","","","2019","","Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications","ETRA '19","","978-1-4503-6709-7","Denver, Colorado","ACM","New York, NY, USA"
"article","2393656","Yida  Tao and Yingnong  Dang and Tao  Xie and Dongmei  Zhang and Sunghun  Kim","","","","How Do Software Engineers Understand Code Changes?: An Exploratory Study in Industry","51:1--51:11","51","11","code change, code review, information needs, tool support","10.1145/2393596.2393656","","","","","","","2012","","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","FSE '12","","978-1-4503-1614-9","Cary, North Carolina","ACM","New York, NY, USA"
"article","3196353","Norihiro  Yoshida and Takuya  Ishizu and Bufurod  Edwards,III and Katsuro  Inoue","","","","How Slim Will My System Be?: Estimating Refactored Code Size by Merging Clones","352--360","","9","code clone, refactoring, size estimation","10.1145/3196321.3196353","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597149","Paul W.  McBurney and Collin  McMillan","","","","Automatic Documentation Generation via Source Code Summarization of Method Context","279--290","","12","Source code summarization","10.1145/2597008.2597149","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3196367","Qing  Gao and Sen  Ma and Sihao  Shao and Yulei  Sui and Guoliang  Zhao and Luyao  Ma and Xiao  Ma and Fuyao  Duan and Xiao  Deng and Shikun  Zhang and Xianglong  Chen","","","","CoBOT: Static C/C++ Bug Detection in the Presence of Incomplete Code","385--388","","4","bug detection, incomplete code, static analysis","10.1145/3196321.3196367","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2688133","Marwan  Abi-Antoun and Andrew  Giang and Sumukhi  Chandrashekar and Ebrahim  Khalaj","","","","The Eclipse Runtime Perspective for Object-oriented Code Exploration and Program Comprehension","3--8","","6","object diagrams, object graphs","10.1145/2688130.2688133","","","","","","","2014","","Proceedings of the 2014 Workshop on Eclipse Technology eXchange","ETX '14","","978-1-4503-2530-1","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2094133","Teresa  Busjahn and Carsten  Schulte and Andreas  Busjahn","","","","Analysis of Code Reading to Gain More Insight in Program Comprehension","1--9","","9","CS Ed research, code comprehension, code reading, educational research, eye tracking, program comprehension","10.1145/2094131.2094133","","","","","","","2011","","Proceedings of the 11th Koli Calling International Conference on Computing Education Research","Koli Calling '11","","978-1-4503-1052-9","Koli, Finland","ACM","New York, NY, USA"
"article","3131164","Junior Cesar Rocha and Vanius  Zapalowski and Ingrid  Nunes","","","","Understanding Technical Debt at the Code Level from the Perspective of Software Developers","64--73","","10","Programming Best Practices, Survey, Technical Debt","10.1145/3131151.3131164","","","","","","","2017","","Proceedings of the 31st Brazilian Symposium on Software Engineering","SBES'17","","978-1-4503-5326-7","Fortaleza, CE, Brazil","ACM","New York, NY, USA"
"article","3196361","Aoi  Takahashi and Natthawute  Sae-Lim and Shinpei  Hayashi and Motoshi  Saeki","","","","A Preliminary Study on Using Code Smells to Improve Bug Localization","324--327","","4","bug localization, code smell, information retrieval","10.1145/3196321.3196361","","","","","","","2018","","Proceedings of the 26th Conference on Program Comprehension","ICPC '18","","978-1-4503-5714-2","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2597156","Vanius  Zapalowski and Ingrid  Nunes and Daltro Jos&#233;  Nunes","","","","Revealing the Relationship Between Architectural Elements and Source Code Characteristics","14--25","","12","Software architecture, architecture reconstruction, architecture recovery, source code characteristics","10.1145/2597008.2597156","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","2597145","Sebastiano  Panichella and Gerardo  Canfora and Massimiliano  Di Penta and Rocco  Oliveto","","","","How the Evolution of Emerging Collaborations Relates to Code Changes: An Empirical Study","177--188","","12","Developers&#039; Communication, Empirical Studies, Mining Software Repositories, Open Source Projects","10.1145/2597008.2597145","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3264841","Yuan  Huang and Nan  Jia and Xiangping  Chen and Kai  Hong and Zibin  Zheng","","","","Salient-class Location: Help Developers Understand Code Change in Code Review","770--774","","5","Code Change, Code Commit, Code Comprehension, Code Discriminative Features, Code Review","10.1145/3236024.3264841","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","2528268","Max  Lillack and Johannes  M&#252;ller and Ulrich W. Eisenecker","","","","Program Slicing to Understand Software Generators","41--48","","8","macros, program comprehension, program slicing, software generators","10.1145/2528265.2528268","","","","","","","2013","","Proceedings of the 5th International Workshop on Feature-Oriented Software Development","FOSD '13","","978-1-4503-2168-6","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","2597147","Md Kamal  Hossen and Huzefa  Kagdi and Denys  Poshyvanyk","","","","Amalgamating Source Code Authors, Maintainers, and Change Proneness to Triage Change Requests","130--141","","12","Change Request, Expert Developer Recommendation, Software Maintenance, Triaging","10.1145/2597008.2597147","","","","","","","2014","","Proceedings of the 22Nd International Conference on Program Comprehension","ICPC 2014","","978-1-4503-2879-1","Hyderabad, India","ACM","New York, NY, USA"
"article","3173317","Denez  Thomas and Nicolas  Harrand and Benoit  Baudry and Bruno  Bossis","","","","Code{Strata} Sonifying Software Complexity","617--621","","5","copy and paste, cycling 74 max 7, instrumentation, java, sonification, spatialization","10.1145/3173225.3173317","","","","","","","2018","","Proceedings of the Twelfth International Conference on Tangible, Embedded, and Embodied Interaction","TEI '18","","978-1-4503-5568-1","Stockholm, Sweden","ACM","New York, NY, USA"
"article","2089163","YoungSeok  Yoon and Brad A. Myers","","","","Capturing and Analyzing Low-level Events from the Code Editor","25--30","","6","code editor, editing strategies, event logger","10.1145/2089155.2089163","","","","","","","2011","","Proceedings of the 3rd ACM SIGPLAN Workshop on Evaluation and Usability of Programming Languages and Tools","PLATEAU '11","","978-1-4503-1024-6","Portland, Oregon, USA","ACM","New York, NY, USA"
