"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3063311","Bilgiday  Yuce and Nahid Farhady Ghalaty and Chinmay  Deshpande and Harika  Santapuri and Conor  Patrick and Leyla  Nazhandali and Patrick  Schaumont","","","","Analyzing the Fault Injection Sensitivity of Secure Embedded Software","95:1--95:25","95","25","AES, Fault attack, RISC, embedded system security, microarchitecture-aware fault analysis","10.1145/3063311","ACM Trans. Embed. Comput. Syst.","September 2017","16","4","","July","2017","1539-9087","","","","","","ACM","New York, NY, USA"
"article","2159537","Sebastian  Danicic and Robert M.  Hierons and Michael R.  Laurence","","","","Complexity of Data Dependence Problems for Program Schemas with Concurrency","15:1--15:18","15","18","Data dependence, Herbrand domain, free schemas, program analysis, program schemas","10.1145/2159531.2159537","ACM Trans. Comput. Logic","April 2012","13","2","","April","2012","1529-3785","","","","","","ACM","New York, NY, USA"
"article","3133903","Peng  Wang and Di  Wang and Adam  Chlipala","","","","TiML: A Functional Language for Practical Complexity Analysis with Invariants","79:1--79:26","79","26","asymptotic complexity, refinement types, resource-aware type systems","10.1145/3133903","Proc. ACM Program. Lang.","October 2017","1","OOPSLA","","October","2017","2475-1421","","","","","","ACM","New York, NY, USA"
"article","3123815","Deborah A. Fields and Yasmin B. Kafai and Michael T. Giang","","","","Youth Computational Participation in the Wild: Understanding Experience and Equity in Participating and Programming in the Online Scratch Community","15:1--15:22","15","22","Computer science education, collaborative learning, computer supported collaborative learning, educational data mining, equity, learning analytics, social networking forums, social networking sites","10.1145/3123815","ACM Trans. Comput. Educ.","August 2017","17","3","","August","2017","1946-6226","","","","","","ACM","New York, NY, USA"
"article","3301318","A.  Shterenlikht","","","","On Quality of Implementation of Fortran 2008 Complex Intrinsic Functions on Branch Cuts","11:1--11:9","11","9","ACOS, ACOSH, ASIN, ASINH, ATAN, ATANH, Fortran, LOG, SQRT, branch cuts, signed infinity, signed zero","10.1145/3301318","ACM Trans. Math. Softw.","March 2019","45","1","","March","2019","0098-3500","","","","","","ACM","New York, NY, USA"
"article","2513117","Danilo  Erricolo and Giuseppe  Carluccio","","","","Algorithm 934: Fortran 90 Subroutines to Compute Mathieu Functions for Complex Values of the Parameter","8:1--8:19","8","19","Mathieu function, computation, special function, validation","10.1145/2513109.2513117","ACM Trans. Math. Softw.","September 2013","40","1","","October","2013","0098-3500","","","","","","ACM","New York, NY, USA"
"article","2904904","Islem  Baki and Houari  Sahraoui","","","","Multi-Step Learning and Adaptive Search for Learning Complex Model Transformations from Examples","20:1--20:37","20","37","Genetic programming, model transformation, model transformation by example, model-driven engineering, simulated annealing","10.1145/2904904","ACM Trans. Softw. Eng. Methodol.","August 2016","25","3","","June","2016","1049-331X","","","","","","ACM","New York, NY, USA"
"article","2168779","Piers W.  Lawrence and Robert M.  Corless and David J.  Jeffrey","","","","Algorithm 917: Complex Double-Precision Evaluation of the Wright {$\omega$} Function","20:1--20:17","20","17","Wright omega function, double-precision evaluation over C","10.1145/2168773.2168779","ACM Trans. Math. Softw.","April 2012","38","3","","April","2012","0098-3500","","","","","","ACM","New York, NY, USA"
"article","3086466","Field G. Van Zee and Tyler M. Smith","","","","Implementing High-performance Complex Matrix Multiplication via the 3m and 4m Methods","7:1--7:36","7","36","3m, 4m, BLAS, BLIS, DLA, Linear algebra, complex, high-performance, induced, kernel, matrix, micro-kernel, multiplication","10.1145/3086466","ACM Trans. Math. Softw.","July 2017","44","1","","July","2017","0098-3500","","","","","","ACM","New York, NY, USA"
"article","3054946","Bram  Reps and Tobias  Weinzierl","","","","Complex Additive Geometric Multilevel Solvers for Helmholtz Equations on Spacetrees","2:1--2:36","2","36","AMR, BPX, Helmholtz, additive multigrid, vectorization","10.1145/3054946","ACM Trans. Math. Softw.","July 2017","44","1","","March","2017","0098-3500","","","","","","ACM","New York, NY, USA"
"article","3309681","Mofreh R. Zaghloul","","","","Remark on &#x201C;Algorithm 680: Evaluation of the Complex Error Function&#x201D;: Cause and Remedy for the Loss of Accuracy Near the Real Axis","24:1--24:3","24","3","Dawson function, Fresnel integrals, Special functions evaluation, error function, faddeyeva function, imaginary error function","10.1145/3309681","ACM Trans. Math. Softw.","April 2019","45","2","","April","2019","0098-3500","","","","","","ACM","New York, NY, USA"
"article","1671959","Yuri V. Ivanov and C. J. Bleakley","","","","Real-time H.264 Video Encoding in Software with Fast Mode Decision and Dynamic Complexity Control","5:1--5:21","5","21","H/264/AVC, complexity, complexity control, fast mode decision, mode decision, rate distortion, real time","10.1145/1671954.1671959","ACM Trans. Multimedia Comput. Commun. Appl.","February 2010","6","1","","February","2010","1551-6857","","","","","","ACM","New York, NY, USA"
